passenger_id,name,age,gender,city
1001,Karan Singh,59,Male,Hyderabad
1002,Sneha Gupta,43,Female,Ahmedabad
1003,Karan Reddy,29,Male,Hyderabad
1004,Neha Iyer,34,Female,Chennai
1005,Priya Mehta,31,Female,Kolkata
1006,Sneha Verma,31,Female,Ahmedabad
1007,Rohit Gupta,51,Male,Delhi
1008,Amit Mehta,37,Male,Bangalore
1009,Rohit Patil,28,Male,Mumbai
1010,Anjali Sharma,33,Female,Pune
1011,Arjun Nair,48,Male,Hyderabad
1012,Pooja Sharma,23,Female,Pune
1013,Arjun Verma,36,Male,Ahmedabad
1014,Pooja Verma,54,Female,Bangalore
1015,Anjali Verma,21,Female,Hyderabad
1016,Karan Gupta,64,Male,Pune
1017,Pooja Iyer,21,Female,Kolkata
1018,Amit Singh,37,Male,Bangalore
1019,Pooja Patil,27,Female,Mumbai
1020,Arjun Kulkarni,41,Male,Kolkata
1021,Arjun Gupta,52,Male,Bangalore
1022,Karan Mehta,43,Male,Chennai
1023,Neha Sharma,54,Female,Hyderabad
1024,Priya Patil,55,Female,Delhi
1025,Sneha Singh,38,Female,Mumbai
1026,Amit Nair,57,Male,Ahmedabad
1027,Rohit Reddy,56,Male,Kolkata
1028,Priya Nair,38,Female,Kolkata
1029,Amit Reddy,27,Male,Pune
1030,Karan Kulkarni,55,Male,Hyderabad
1031,Amit Gupta,63,Male,Ahmedabad
1032,Sneha Reddy,21,Female,Delhi
1033,Pooja Kulkarni,62,Female,Bangalore
1034,Rahul Kulkarni,37,Male,Delhi
1035,Sneha Sharma,34,Female,Hyderabad
1036,Sneha Mehta,24,Female,Hyderabad
1037,Anjali Reddy,21,Female,Chennai
1038,Pooja Mehta,46,Female,Chennai
1039,Amit Sharma,31,Male,Delhi
1040,Karan Iyer,20,Male,Bangalore
1041,Neha Mehta,41,Female,Delhi
1042,Rohit Verma,54,Male,Hyderabad
1043,Rahul Verma,33,Male,Hyderabad
1044,Rahul Gupta,21,Male,Pune
1045,Arjun Iyer,41,Male,Chennai
1046,Arjun Reddy,51,Male,Ahmedabad
1047,Rahul Singh,47,Male,Ahmedabad
1048,Priya Gupta,35,Female,Ahmedabad
1049,Priya Iyer,36,Female,Pune
1050,Neha Nair,48,Female,Mumbai
1051,Pooja Gupta,36,Female,Ahmedabad
1052,Rohit Singh,63,Male,Hyderabad
1053,Rahul Sharma,36,Male,Pune
1054,Priya Kulkarni,39,Female,Delhi
1055,Rohit Mehta,41,Male,Chennai
1056,Arjun Mehta,62,Male,Chennai
1057,Pooja Singh,29,Female,Bangalore
1058,Arjun Singh,47,Male,Delhi
1059,Karan Patil,55,Male,Bangalore
1060,Rahul Patil,48,Male,Pune
1061,Neha Patil,53,Female,Kolkata
1062,Rohit Iyer,36,Male,Ahmedabad
1063,Anjali Singh,62,Female,Mumbai
1064,Rohit Sharma,53,Male,Delhi
1065,Pooja Nair,47,Female,Delhi
1066,Neha Singh,50,Female,Delhi
1067,Priya Verma,35,Female,Bangalore
1068,Sneha Iyer,45,Female,Pune
1069,Priya Sharma,64,Female,Delhi
1070,Anjali Gupta,28,Female,Kolkata
1071,Neha Verma,62,Female,Delhi
1072,Rahul Mehta,50,Male,Chennai
1073,Amit Patil,34,Male,Ahmedabad
1074,Rohit Nair,23,Male,Mumbai
1075,Anjali Nair,21,Female,Ahmedabad
1076,Neha Kulkarni,37,Female,Chennai
1077,Anjali Mehta,64,Female,Chennai
1078,Karan Sharma,44,Male,Mumbai
1079,Pooja Reddy,32,Female,Kolkata
1080,Sneha Patil,23,Female,Pune
1081,Amit Kulkarni,64,Male,Chennai
1082,Priya Singh,31,Female,Pune
1083,Karan Nair,28,Male,Chennai
1084,Priya Reddy,56,Female,Hyderabad
1085,Anjali Iyer,26,Female,Mumbai
1086,Neha Reddy,43,Female,Chennai
1087,Rahul Reddy,33,Male,Hyderabad
1088,Arjun Sharma,22,Male,Ahmedabad
1089,Neha Gupta,27,Female,Bangalore
1090,Rohit Kulkarni,20,Male,Hyderabad
1091,Amit Verma,30,Male,Delhi
1092,Arjun Patil,60,Male,Chennai
1093,Anjali Kulkarni,47,Female,Hyderabad
1094,Rahul Iyer,62,Male,Pune
1095,Karan Verma,23,Male,Bangalore
1096,Rahul Nair,34,Male,Kolkata
1097,Anjali Patil,62,Female,Chennai
1098,Sneha Nair,36,Female,Delhi
1099,Sneha Kulkarni,59,Female,Kolkata
1100,Amit Iyer,52,Male,Hyderabad
